[follow_user_motion_node.py-1] [INFO] [1762592191.999283041] [follow_user_motion_node]: Executing goal for user: user_1
[follow_user_motion_node.py-1] [INFO] [1762592211.310715752] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.18), Robot(4.16, 0.18, -3.63 deg), Heading error: 3.63 deg, target_vel(0.50, 6.34), cmd_vel(0.05, 0.27)
[follow_user_motion_node.py-1] [INFO] [1762592211.365190164] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.18), Robot(4.16, 0.18, -2.91 deg), Heading error: 2.91 deg, target_vel(0.50, 5.08), cmd_vel(0.05, 0.27)
[follow_user_motion_node.py-1] [INFO] [1762592211.414580605] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.18), Robot(4.16, 0.18, -1.98 deg), Heading error: 1.98 deg, target_vel(0.50, 3.45), cmd_vel(0.06, 0.30)
[follow_user_motion_node.py-1] [INFO] [1762592211.463163752] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.16, 0.18), Robot(4.16, 0.18, -1.39 deg), Heading error: 1.39 deg, target_vel(0.50, 2.42), cmd_vel(0.06, 0.30)
[follow_user_motion_node.py-1] [INFO] [1762592211.510847488] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.17, 0.18), Robot(4.17, 0.18, -0.63 deg), Heading error: 0.63 deg, target_vel(0.50, 1.10), cmd_vel(0.07, 0.32)
[follow_user_motion_node.py-1] [INFO] [1762592211.563930770] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.17, 0.18), Robot(4.17, 0.18, 0.13 deg), Heading error: -0.13 deg, target_vel(0.50, -0.23), cmd_vel(0.07, 0.22)
[follow_user_motion_node.py-1] [INFO] [1762592211.611012945] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.17, 0.18), Robot(4.17, 0.18, 1.36 deg), Heading error: -1.36 deg, target_vel(0.50, -2.38), cmd_vel(0.07, 0.22)
[follow_user_motion_node.py-1] [INFO] [1762592211.660076989] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.17, 0.18), Robot(4.17, 0.18, 2.22 deg), Heading error: -2.22 deg, target_vel(0.50, -3.87), cmd_vel(0.07, 0.25)
[follow_user_motion_node.py-1] [INFO] [1762592211.725739732] [follow_user_motion_node]: Update 32-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592211.726551182] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.18, 0.18), Robot(4.18, 0.18, 3.15 deg), Heading error: -3.15 deg, target_vel(0.50, -5.49), cmd_vel(0.07, 0.25)
[follow_user_motion_node.py-1] [INFO] [1762592211.759470174] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.18, 0.18), Robot(4.18, 0.18, 3.83 deg), Heading error: -3.83 deg, target_vel(0.50, -6.68), cmd_vel(0.08, 0.27)
[follow_user_motion_node.py-1] [INFO] [1762592211.810893899] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.18, 0.18), Robot(4.18, 0.18, 4.68 deg), Heading error: -4.68 deg, target_vel(0.50, -8.16), cmd_vel(0.08, 0.27)
[follow_user_motion_node.py-1] [INFO] [1762592211.860811890] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.18, 0.18), Robot(4.18, 0.18, 5.25 deg), Heading error: -5.25 deg, target_vel(0.50, -9.14), cmd_vel(0.08, 0.20)
[follow_user_motion_node.py-1] [INFO] [1762592211.909058140] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.19, 0.19), Robot(4.19, 0.19, 6.17 deg), Heading error: -6.17 deg, target_vel(0.50, -10.74), cmd_vel(0.08, 0.20)
[follow_user_motion_node.py-1] [INFO] [1762592211.961348530] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.19, 0.19), Robot(4.19, 0.19, 6.67 deg), Heading error: -6.67 deg, target_vel(0.50, -11.62), cmd_vel(0.08, 0.23)
